make horsepowertorque highway_mpg
Scion 156.6154 156 29.84615
MINI 160.9677 155.0323 33.87097
Kia 179.7407 170.6741 30.94815
Honda 188.225 175.27 30.41
Volkswagen 192.4961 210.4884 30.1938
Mitsubishi 195.3529 196.1961 26.68627
Subaru 205.2095 200.8667 26.53333
Saab 222.5424 236.1864 27.52542
Lotus 231 168.0909 26.36364
Volvo 247.2427 254.2039 25.71845
Toyota 253.4492 257.1446 23.93846
Acura 262.8485 239.2727 25.84848
Mercedes 280.2188 298.875 23.15625
Audi 300.1839 297.908 25.17241
Lexus 301.6154 278.9231 25.25
Infiniti 322.1294 281.4235 24.29412
Cadillac 340.98 324.76 22.52
BMW 347.1805 349.5338 24.32331
Land Rover 373.8571 363.2857 19.54286
Porsche 376.549 330.0588 24
Mercedes-Benz388.4286 421.1429 20.42857
Maserati 422.5 353.6667 19.41667
Jaguar 448.75 418.7955 22.18182
Aston Martin 470 413.6512 18.44186
Rolls-Royce 475 539.8 18.4
Mercedes-AMG494.8333 512.6667 16.83333
AMG 525.9 527.7 18.9
Ferrari 540 434 16
Lamborghini 554.8 398 20
Bentley 577.4444 576.3333 16.22222
Maybach 599.8462 720.9231 16
